principal_id,window_start,query_count,sum_bytes_scanned,max_bytes_scanned,distinct_tables,distinct_sql_hash,shadow_ratio,hour_of_day,anomaly_score,hard_rule_triggered,flagged
shadow-abuser-02,2026-05-31 03:00:00+00:00,40,131721529,7909617,12,39,1.0,3,4.312934389301406,False,True
shadow-abuser-01,2026-05-31 02:00:00+00:00,220,112697449866,1165835334,3,24,1.0,2,4.046337256898907,True,True
analyst-006,2026-05-31 16:45:00+00:00,1,3492341,3492341,1,1,0.0,16,2.512920244588245,False,False
analyst-006,2026-05-31 17:00:00+00:00,2,5113332,3756957,1,1,0.0,17,2.469442804119109,False,False
analyst-003,2026-05-31 16:00:00+00:00,5,10161638,4472627,5,5,0.4,16,2.304607190891068,False,False
analyst-003,2026-05-31 17:30:00+00:00,7,11531227,2987865,4,6,0.42857142857142855,17,2.277066106210945,False,False
analyst-004,2026-05-31 14:00:00+00:00,5,11255120,5856740,4,5,0.0,14,2.2560269078452646,False,False
analyst-002,2026-05-31 10:00:00+00:00,4,6805550,2891068,1,2,0.0,10,2.046896926849675,False,False
analyst-005,2026-05-31 08:15:00+00:00,1,645091,645091,1,1,0.0,8,2.045828103259052,False,False
analyst-008,2026-05-31 04:30:00+00:00,7,7980981,2406121,3,7,0.14285714285714285,4,1.9472815059780157,False,False
analyst-002,2026-05-31 11:45:00+00:00,2,4095123,2421921,1,1,0.5,11,1.9169623599072805,False,False
analyst-001,2026-05-31 08:15:00+00:00,1,665031,665031,1,1,0.0,8,1.8659712642182598,False,False
analyst-008,2026-05-31 22:00:00+00:00,2,3943921,2522224,1,1,0.0,22,1.8450694894158945,False,False
analyst-009,2026-05-31 07:30:00+00:00,1,2707003,2707003,1,1,0.0,7,1.8321323563193113,False,False
analyst-003,2026-05-31 11:45:00+00:00,2,3380893,2602122,1,1,0.5,11,1.7914024416000567,False,False
analyst-010,2026-05-31 08:00:00+00:00,7,7845600,3058276,4,6,0.0,8,1.766167075528195,False,False
analyst-002,2026-05-31 17:45:00+00:00,6,4645585,1001675,3,5,0.16666666666666666,17,1.7249021063690984,False,False
analyst-007,2026-05-31 11:15:00+00:00,1,2606011,2606011,1,1,0.0,11,1.718524112298968,False,False
analyst-005,2026-05-31 10:45:00+00:00,7,7670606,2355292,4,6,0.0,10,1.6854616082491556,False,False
analyst-005,2026-05-31 16:45:00+00:00,3,8816137,4981559,2,3,0.0,16,1.6286530113559818,False,False
analyst-006,2026-05-31 13:30:00+00:00,1,698950,698950,1,1,0.0,13,1.616972592953361,False,False
analyst-006,2026-05-31 14:30:00+00:00,2,1133724,655875,2,2,0.5,14,1.5990698321839456,False,False
analyst-007,2026-05-31 13:30:00+00:00,2,5889330,4473835,2,2,0.5,13,1.5531238402706804,False,False
analyst-009,2026-05-31 11:45:00+00:00,2,1640367,1160544,1,1,0.0,11,1.5523925390931443,False,False
analyst-001,2026-05-31 05:15:00+00:00,1,713932,713932,1,1,0.0,5,1.5507188150665763,False,False
analyst-010,2026-05-31 17:30:00+00:00,6,10675719,3645917,3,5,0.16666666666666666,17,1.548421893170835,False,False
analyst-009,2026-05-31 15:45:00+00:00,2,3021460,2095305,1,1,0.0,15,1.5410770011877644,False,False
analyst-008,2026-05-31 15:30:00+00:00,5,9970995,2977518,5,5,0.6,15,1.5388914456705973,False,False
analyst-007,2026-05-31 10:45:00+00:00,6,7339912,1583180,4,6,0.16666666666666666,10,1.508145313377313,False,False
analyst-007,2026-05-31 09:30:00+00:00,1,2431309,2431309,1,1,0.0,9,1.500661458732964,False,False
analyst-002,2026-05-31 07:15:00+00:00,1,765605,765605,1,1,0.0,7,1.485979168046813,False,False
analyst-010,2026-05-31 11:30:00+00:00,2,2996392,1824039,1,1,0.0,11,1.4779476884678266,False,False
analyst-004,2026-05-31 11:00:00+00:00,6,8587971,2736113,5,5,0.0,11,1.468880093699409,False,False
analyst-008,2026-05-31 14:30:00+00:00,3,1662404,804190,3,3,0.3333333333333333,14,1.4423026955317717,False,False
analyst-007,2026-05-31 16:00:00+00:00,1,787001,787001,1,1,1.0,16,1.4126203840379217,False,False
analyst-002,2026-05-31 09:15:00+00:00,1,789287,789287,1,1,0.0,9,1.3947131503636985,False,False
analyst-008,2026-05-31 15:15:00+00:00,3,7789884,5101872,2,3,0.0,15,1.3557797483094556,False,False
analyst-008,2026-05-31 08:45:00+00:00,6,5780813,1294096,4,5,0.0,8,1.333408999514048,False,False
analyst-010,2026-05-31 09:30:00+00:00,1,824607,824607,1,1,0.0,9,1.2372696189992531,False,False
analyst-008,2026-05-31 08:00:00+00:00,1,831678,831678,1,1,0.0,8,1.2309945286476256,False,False
analyst-006,2026-05-31 09:30:00+00:00,5,7176799,1844726,5,5,0.0,9,1.2154784770727047,False,False
analyst-001,2026-05-31 17:30:00+00:00,1,2310086,2310086,1,1,0.0,17,1.19796517629463,False,False
analyst-001,2026-05-31 17:45:00+00:00,2,5766637,3981465,2,2,0.0,17,1.111269760306868,False,False
analyst-010,2026-05-31 16:00:00+00:00,2,4742485,2752228,1,2,0.0,16,1.0993966732912028,False,False
analyst-001,2026-05-31 08:30:00+00:00,5,7092193,2722373,5,5,0.4,8,1.0578797169446148,False,False
analyst-004,2026-05-31 17:45:00+00:00,2,3882309,2919787,1,2,0.0,17,0.9576710656161977,False,False
analyst-003,2026-05-31 13:45:00+00:00,1,912207,912207,1,1,0.0,13,0.9412042095279237,False,False
analyst-005,2026-05-31 12:45:00+00:00,5,3871193,974850,3,4,0.2,12,0.9195207943909048,False,False
